marque,version,annee,kilometrage,energie,emission_C02,consommation_mixte,transmission,portes,puissance_fiscale,places,lieu,prix
Mercedes,Classe CLA 180 d Business Edition,2017,52000,Diesel,98,3.7,Manuelle,4,5,5,66690,22000
Opel,Agila 1.0 - 65 ch ecoFLEX Enjoy,2010,45700,Essence,119,5.1,Manuelle,4,4,5,31170,5000
Fiat,500 1.2 69 ch Lounge,2016,30500,Essence,115,4.9,Manuelle,2,4,4,34970,9600
Citroën,DS7 Crossback BlueHDi 180 EAT8 Executive,2020,15500,Diesel,115,4.4,Automatique,4,9,5,33320,39490
Dacia,Duster dCi 110 4x2 Prestige,2018,28690,Diesel,115,4.4,Manuelle,4,6,5,75020,16000
Dacia,Duster 1.5 dCi 110 4x4 Ambiance,2012,65500,Diesel,137,5.3,Manuelle,4,6,5,20000,11900
Fiat,500 1.2 8V 69 ch by Diesel,2010,72600,Essence,119,5.1,Manuelle,2,4,4,64150,6200
Kia,CEED 1.0 T-GDi 120 ch ISG BVM6 Active,2020,18800,Essence,null,null,Manuelle,4,6,5,45000,18290
Citroën,C3 PureTech 83 S&S BVM5 Feel Pack,2021,1950,Essence,null,null,Manuelle,4,4,5,35580,16500
Peugeot,2008 PureTech 82ch BVM5 Style,2019,38000,Essence,112,5.0,Manuelle,4,4,5,85440,12900
Audi,S3 Sportback 2.0 TFSI 265 Quattro,2009,86400,Essence,201,8.5,Manuelle,4,17,5,59500,20500
Kia,Stonic 1.6 CRDi 110 ch Active,2018,120000,Diesel,109,4.2,Manuelle,4,6,5,76780,13500
Volvo,XC60 D5 AWD Xénium Geartronic A,2012,140000,Diesel,169,6.4,Automatique,4,13,5,51000,17000
Peugeot,208 PureTech 100 S&S BVM6 Active,2019,45000,Essence,null,null,Manuelle,4,5,5,71620,13990
Renault,Mégane CC 1.9 dCi 120 Confort Authentique,2004,175000,Diesel,146,5.5,Manuelle,2,7,4,91090,1500
Peugeot,Traveller Long 1.6 BlueHDi 115ch S&S BVM6 Business,2018,80000,Diesel,137,null,Manuelle,4,6,9,11610,26000
Citroën,Xsara 1.9 D X,1998,248000,Diesel,164,6.2,Manuelle,4,5,5,30100,1590
Renault,Mégane IV Berline TCe 100 Energy Business,2017,63000,Essence,120,5.4,Manuelle,4,5,5,95680,11000
Renault,Talisman dCi 130 Energy Business,2017,125587,Diesel,102,3.9,Manuelle,4,6,5,69220,12500
Peugeot,407 2.0 HDi 16v Griffe,2005,245945,Diesel,155,5.9,Manuelle,4,8,5,79420,1200
Audi,A3 Sportback 35 TFSI 150 S tronic 7 S Line,2021,1550,Essence,135,null,Automatique,4,8,5,01100,39800
Ford,Ka 1.3i - 70 Ka²,2007,64600,Essence,154,6.5,Manuelle,2,5,4,78630,3990
Smart,Smart Coupe 61 Passion Softouch A,2004,107400,Essence,113,4.7,Automatique,2,4,2,78650,2890
Mercedes,Classe B 200 CDI BlueEFFICIENCY Business,2014,131500,Diesel,114,4.4,Manuelle,4,7,5,29400,12500
Audi,A3 2.0 TDI 140 DPF Ambiente,2009,187200,Diesel,134,5.1,Manuelle,2,8,5,57070,6700
Peugeot,205 1.0 GL,1989,200000,Essence,null,null,Manuelle,4,4,5,31230,1000
Ford,Fiesta 1.2i Elance,1999,51900,Essence,null,null,Manuelle,4,5,5,10120,3500
Opel,Astra 1.6i,1999,1,Essence,173,7.2,Manuelle,4,6,5,97290,500
Opel,Astra Sports Tourer 1.5 Diesel 122 ch BVM6 Edition Business,2019,18500,Diesel,92,3.5,Manuelle,4,6,5,24650,18000
Peugeot,208 1.2 PureTech 110ch S&S BVM5 GT Line,2017,40000,Essence,99,4.3,Manuelle,2,5,5,31290,12000
Mercedes,Classe E 250 CDI BlueEfficiency Avantgarde Executive A,2009,359893,Diesel,154,5.8,Automatique,4,11,5,56300,9800
BMW,645Ci Cab Steptronic A,2004,79000,Essence,279,11.5,Automatique,2,24,4,60270,23850
Renault,Clio Estate 1.5 dCi 85 eco2 Dynamique,2009,223227,Diesel,117,4.4,Manuelle,4,5,5,vendeur,2400
Peugeot,207 CC 1.6 HDi 112ch FAP BLUE LION Sport,2011,175500,Diesel,125,4.8,Manuelle,2,6,4,94310,4990
Renault,Kangoo 1.5 dCi 105 eco2 Expression,2008,200000,Diesel,146,5.5,Manuelle,4,6,5,38000,4200
Mercedes,Classe C 220 CDI BlueEfficiency Avantgarde A,2009,260000,Diesel,153,5.8,Automatique,4,10,5,25200,9000
Peugeot,108 1.2 PureTech 82ch BVM5 Style,2018,51900,Essence,99,4.3,Manuelle,4,4,4,vendeur,8799
Citroën,C4 Cactus PureTech 110 S&S EAT6 Shine,2019,31530,Essence,117,5.1,Automatique,4,6,5,59770,14990
Mercedes,Classe C Break 200 d 7G-Tronic Business Executive,2017,54000,Diesel,122,4.8,Automatique,4,7,5,13580,19800
Audi,Q7 3.0 V6 TDI Clean Diesel 272 Tiptronic 8 Quattro 7pl,2017,85000,Diesel,158,6.0,Automatique,4,17,7,72700,47500
Kia,Picanto 1.0 essence MPi 67 ch BVM5 Motion,2020,13900,Essence,null,null,Manuelle,4,4,5,17190,10600
Audi,A3 2.0 TDI 184 Quattro Ambiente S tronic 6,2013,120000,Diesel,124,4.7,Semi automatique,2,10,5,83860,18500
BMW,X1 sDrive 18i 140 ch DKG7 Lounge,2018,21200,Essence,133,5.8,Automatique,4,7,5,13127,26900
Peugeot,RCZ 2.0 HDi FAP 160ch,2013,87600,Diesel,130,5.0,Manuelle,2,9,4,40180,13500
Mercedes,Classe A 200 7G-DCT AMG Line,2018,27000,Essence,118,5.2,Automatique,4,8,5,83000,33000
Ford,Kuga 2.0 TDCi 150 S&S 4x2 Titanium,2015,130000,Diesel,122,4.7,Manuelle,4,8,5,15250,12800
Mercedes,Classe CLS 350 d A,2015,177200,Diesel,142,5.5,Automatique,4,15,4,31530,23199
Dacia,Sandero TCe 90 Advance,2018,42000,Essence,115,5.1,Manuelle,4,5,5,33480,9990
Nissan,Qashqai 1.6 dCi 130 Xtronic Tekna,2016,61500,Diesel,128,4.9,Automatique,4,7,5,01300,16900
BMW,Z4 2.5i,2003,156000,Essence,216,8.9,Manuelle,2,12,2,59152,10990
Kia,CEED 1.0 T-GDi 120 ch ISG BVM6 Active,2019,57000,Essence,118,5.2,Manuelle,4,6,5,35310,15740
Nissan,Qashqai 1.6 dCi 130 FAP All-Mode Stop/Start 360,2013,136000,Diesel,135,5.1,Manuelle,4,7,5,13010,10900
Seat,Ibiza 1.6 TDI 90 FAP Style,2010,143461,Diesel,109,4.2,Manuelle,4,5,5,01420,4800
Ford,Fusion 1.4 TDCi 68 Plus,2009,225000,Diesel,120,4.6,Manuelle,4,4,5,35540,2500
CITROëN,ds so chic,2015,70500,Essence,104,4.5,Manuelle,2,null,5,38410,11900
Seat,Exeo 2.0 TDI 143 ch Style,2009,248000,Diesel,139,5.3,Manuelle,4,8,5,18340,4500
Maserati,Granturismo S 4.7 V8 A,2009,146000,Essence,354,15.2,Automatique,2,36,4,vendeur,44900
Skoda,Fabia Combi 1.6 TDI 90 CR Ambition,2011,126500,Diesel,109,4.2,Manuelle,4,5,5,06140,5800
Citroen,DS3 e-HDi 90 So Chic,2014,97400,Diesel,90,3.5,Manuelle,2,4,5,78650,8790
Volkswagen,Tiguan 2.0 TDI 150 DSG7 Carat,2016,140000,Diesel,123,null,Automatique,4,8,5,93320,16490
Renault,Mégane 1.6 16V Confort Authentique,2003,210400,Essence,163,6.8,Manuelle,4,7,5,72230,2100
Fiat,Freemont 2.0 16V Multijet 140 ch 4x2 Freemont,2011,145200,Diesel,169,6.4,Manuelle,4,8,7,13730,9500
Audi,SQ5 V6 3.0 BiTDI 326 Quattro Tiptronic 8,2016,88000,Diesel,174,6.6,Automatique,4,21,5,67480,34900
Mitsubishi,Lancer Sportback 2.0 DI-D Instyle,2009,182000,Diesel,173,6.5,Manuelle,4,8,5,vendeur,5000
Mitsubishi,Lancer Sportback 2.0 DI-D Instyle,2009,182000,Diesel,173,6.5,Manuelle,4,8,5,vendeur,5500
Renault,Mégane 1.6i 16V Fidji,1999,186000,Essence,165,7.0,Manuelle,4,7,5,83700,1250
Nissan,Qashqai 1.6 dCi 130 Tekna+,2018,29000,Diesel,116,4.4,Manuelle,4,7,5,85190,21700
Opel,Mokka 1.4 Turbo - 140 ch 4x2 Start&Stop Cosmo Pack,2016,83000,Essence,145,6.3,Manuelle,4,8,5,51430,11300
Voiture,null,null,null,null,null,null,null,null,null,null,null,null
Citroën,BERLINGO M BLUEHDI 100 CLUB,2019,123000,Diesel,112,4.3,Manuelle,4,5,2,54740,12200
Toyota,RAV4 115 D-4D VX,2005,190650,Diesel,190,7.1,Manuelle,4,8,5,92500,5010
Renault,CLIO SOCIETE 1.9 D RC,2006,280000,Diesel,null,null,Manuelle,2,7,2,43200,650
Renault,Mégane IV Berline Blue dCi 115 EDC - 20 SL Edition One,2021,23791,Diesel,null,null,Automatique,4,6,5,60230,21500
Citroën,C3 Pluriel 1.4i,2018,49600,Essence,163,6.8,Manuelle,2,5,4,42130,10800
Lada,Niva 1.7i 81ch GPL,2011,73000,GPL ou GNL,190,9.5,Manuelle,2,6,4,57250,9000
Chevrolet,Orlando 2.0 VCDi 130 S&S LT+,2013,141000,Diesel,139,5.3,Manuelle,4,7,7,34500,8500
Citroën,Axel 1.1 Base,1963,52000,Essence,null,null,Manuelle,2,6,5,91320,9000
Toyota,Aygo 1.4 D Confort,2008,123000,Diesel,109,4.1,Manuelle,2,3,4,77115,4200
Renault,Grand Scénic III dCi 130 FAP eco2 Bose Energy 5 pl,2012,181000,Diesel,114,4.4,Manuelle,4,7,5,33270,6790
Peugeot,206+ 1.4 HDi 70ch FAP BLUE LION Urban Move,2012,93000,Diesel,104,4.0,Manuelle,4,4,5,33270,5590
Mitsubishi,Outlander 2.0I 200 PHEV 4WD Instyle,2014,124000,Hybride,44,1.9,Automatique,4,5,5,38270,17000
Seat,Alhambra 1.9 TDI 115 Grand Via,2002,302000,Diesel,null,6.6,Manuelle,4,7,7,49450,2900
Suzuki,Vitara 1.6 VVT Allgrip Pack,2016,70496,Essence,130,5.6,Manuelle,4,6,5,58310,13000
Mercedes,Classe E 280 CDI Avantgarde A,2007,205000,Diesel,199,7.5,Automatique,4,12,5,59570,6800
particulier,Cayenne 3.6 V6 Tiptronic S A,2009,150000,Essence,310,12.9,Automatique,4,21,5,67000,16900
Renault,Clio Blue dCi 115 Intens,2020,31000,Diesel,null,null,Manuelle,4,6,5,59195,19700
Peugeot,306 2.0i Griffe A,1995,225000,Essence,null,null,Automatique,4,10,5,72300,1000
BMW,118d 143 ch Confort A,2011,124000,Diesel,145,5.5,Automatique,2,8,4,79240,15000
Peugeot,406 Coupé 2.2 HDI,2002,327057,Diesel,168,6.4,Manuelle,2,8,4,82000,1600
BMW,Active Tourer 218d 150 ch Business A,2016,68000,Diesel,109,4.1,Automatique,4,7,5,80110,17500
Peugeot,3008 Puretech 130ch S&S EAT8 Crossway,2019,54000,Essence,109,4.9,Automatique,4,7,5,60200,26000
Volvo,XC40 T2 129 ch Momentum Business,2021,1300,Essence,null,null,Manuelle,4,7,5,60000,27000
Abarth,595 1.4 Turbo 16V T-Jet 160 ch Competizione A,2015,129000,Essence,150,6.5,Semi automatique,2,9,4,38760,15000
Citroën,C5 Aircross BlueHDi 130 S&S BVM6 Business,2020,25000,Diesel,106,4.2,Manuelle,4,6,5,56380,26099
Kia,Sportage 2.0 CRDi 136 ISG 4x2 GT Line,2017,74500,Diesel,127,4.8,Manuelle,4,7,5,34230,17500
Volkswagen,Golf 1.6 TDI 105 FAP CR BlueMotion 99gr Trendline,2011,159300,Diesel,99,3.8,Manuelle,4,5,5,92400,7200
Porsche,Cayenne 3.0D V6 262 ch Tiptronic A,2016,184000,Diesel,179,6.8,Automatique,4,16,5,54135,35500
BMW,Cab 330d Luxe A,2007,149000,Diesel,181,6.9,Automatique,2,14,4,13160,13500
Peugeot,308 1.6 VTi 120ch Active,2012,112000,Essence,147,6.4,Manuelle,4,7,5,31210,9000
Ford,Ka+ 1.2 85 ch S&S Active,2018,57000,Essence,129,5.7,Manuelle,4,5,5,97438,8800
Volvo,V40 Cross Country D2 120 ch Geartronic 6 Cross Country Business,2017,84000,Diesel,104,3.9,Automatique,4,6,5,97438,14500
Renault,Mégane IV Berline dCi 110 Energy EDC Intens,2017,50300,Diesel,95,3.7,Automatique,4,5,5,80450,16000
Toyota,Land Cruiser 165 D-4D VX A,2005,337000,Diesel,240,9.0,Automatique,2,11,5,38300,13500
Peugeot,308 CC 2.0 HDi 16V 140ch FAP Féline,2009,127000,Diesel,155,5.9,Manuelle,2,8,4,27190,7900
Seat,Ateca 1.5 TSI 150 ch ACT Start/Stop DSG7 Xcellence,2019,25000,Essence,null,null,Semi automatique,4,8,5,75019,27000
Volkswagen,Multivan 2.5 TDI 174 FAP Carat Tiptronic (7pl),2008,233000,Diesel,257,9.7,Automatique,4,12,7,42122,18000
Citroën,DS3 VTi 120 Airdream So Chic,2011,80860,Essence,136,5.9,Manuelle,2,7,5,34070,8490
Volkswagen,New Beetle 1.6i 102 ch,2009,156500,Essence,180,7.5,Manuelle,2,7,5,77090,4800
Volkswagen,Polo 1.0 TSI 95 BM BlueMotion,2016,69300,Essence,98,4.2,Manuelle,4,5,5,82700,11000
Mini,Mini Countryman D 143 ch Cooper S,2012,139935,Diesel,119,4.5,Manuelle,4,7,5,69380,10500
Fiat,500 1.2 8V 69 ch Lounge,2014,58200,Essence,119,5.1,Manuelle,2,4,4,80000,6900
Audi,Q5 2.0 TDI 170 DPF Quattro Ambiente,2010,146700,Diesel,175,6.7,Manuelle,4,10,5,77410,15990
MG,MG F 1.8i Héritage,1958,2000,Essence,null,7.6,Manuelle,2,9,2,69009,35000
Renault,Mégane III Coupé dCi 85 eco2,2010,196300,Diesel,115,4.4,Manuelle,2,5,5,79160,5000
Nissan,Evalia 1.5 dCi 110 Connect Edition 7pl,2015,120000,Diesel,136,5.2,Manuelle,4,6,7,95130,9800
Toyota,Aygo 1.0 VVT-i Confort,2009,148500,Essence,108,4.6,Manuelle,2,4,2,vendeur,1990
Toyota,Yaris Hybride 100h Chic,2018,10515,Hybride,82,3.6,Automatique,4,3,5,74200,15490
Toyota,Yaris Hybride 100h France,2018,10515,Hybride,84,null,Automatique,4,3,5,74200,15490
Citroën,C3 1.4i Collection,2009,150000,Essence,145,6.1,Manuelle,4,5,5,83170,3800
Renault,Clio III 1.2 16V 75 Alizé,2013,126000,Essence,130,5.6,Manuelle,4,5,5,83170,5000
Citroën,DS3 Crossback PureTech 130 S&S EAT8 Business,2019,22130,Essence,109,4.8,Automatique,4,6,5,03290,24590
Mini,Mini Countryman 231 ch BVA8 John Cooper Works,2017,55000,Essence,158,6.9,Automatique,4,14,5,78340,25500
Peugeot,5008 1.6 THP 156ch BVA6 Premium Pack 5pl A,2010,111000,Essence,183,7.9,Automatique,4,9,5,74160,7500
Chrysler,Grand Voyager 2.8 CRD By Cyrillus A,2011,167000,Diesel,233,8.8,Automatique,4,11,7,86340,12000
Mercedes,Classe C Break 200 CDI BlueEfficiency Avantgarde Euro V A,2010,189500,Diesel,153,5.8,Automatique,4,8,5,07200,7900
Citroën,C4 PureTech 130 S&S EAT8 Feel,2021,2000,Essence,null,null,Automatique,4,7,5,35150,28400
Renault,Zoe Edition One Charge Rapide Gamme 2017,2016,63000,Electrique,null,null,Automatique,4,1,5,06620,6700
Peugeot,3008 Puretech 130ch S&S EAT8 Crossway,2019,29000,Essence,109,4.9,Automatique,4,7,5,76600,25500
Peugeot,1007 1.4 HDi Sporty,2007,156000,Diesel,124,4.7,Manuelle,2,4,5,01000,2900
Fiat,500 1.2 8V 69 ch S&S 500,2009,125000,Essence,113,4.8,Manuelle,2,4,4,13007,4590
Peugeot,2008 1.2 PureTech 82ch BVM5 Access,2015,140000,Essence,114,4.9,Manuelle,4,4,5,34590,7299
Renault,Captur dCi 90 Energy Business,2018,30000,Diesel,95,null,Manuelle,4,4,5,34590,12499
Peugeot,807 2.0 HDi 16v 136 FAP Confort,2007,281000,Diesel,188,7.1,Manuelle,4,9,5,31200,2990
Peugeot,108 VTi 72ch S&S BVM5 Style,2020,9500,Essence,null,null,Manuelle,4,4,4,78500,9500
Renault,Espace 2.2 dT 2001,1999,280000,Diesel,null,7.5,Manuelle,4,7,5,51100,600
Renault,Twingo 1.2 Génération GPL,2006,178100,GPL ou GNL,122,7.5,Manuelle,2,4,4,33260,2950
Renault,Scenic III dCi 110 FAP eco2 Authentique Euro 5 2011,2012,229000,Diesel,127,4.9,Manuelle,4,6,5,34990,3400
Citroën,XM D12 Tbo Exclusive A,1993,412000,Diesel,null,6.4,Automatique,4,6,5,70000,2850
Suzuki,Vitara 1.6i JLX,1994,140000,Essence,null,null,Manuelle,2,9,5,69610,4000
Chrysler,Voyager SE,1994,263100,Essence,null,null,Manuelle,4,11,5,91310,1290
Peugeot,207 1.6 HDi 16v 110ch Exécutive Pack,2007,132000,Diesel,129,4.9,Manuelle,4,6,5,06110,3200
Mercedes,S400 CDI A,2001,250000,Diesel,253,9.6,Automatique,4,17,5,74950,3000
Peugeot,2008 BlueHDi 110 S&S BVM6 Roadtrip,2021,2050,Diesel,null,null,Manuelle,4,6,5,25430,26500
Volvo,XC90 D5 AWD AdBlue 235 ch Geartronic 7pl Inscription Luxe,2018,56400,Diesel,158,6.0,Automatique,4,14,7,07320,48500
Opel,Corsa 1.2 Turbo 100 ch BVM6 Elegance,2021,4500,Essence,null,null,Manuelle,4,5,5,57155,17600
Kia,Picanto 1.0 LX,2008,null,Essence,118,4.9,Manuelle,4,4,5,71460,680
Dacia,Duster dCi 110 4x4 Black Touch,2017,67000,Diesel,123,4.7,Manuelle,4,6,5,63100,16000
golf,Golf 2.0 TDI 150 FAP DSG7 Carat,2013,87000,Diesel,114,4.4,Automatique,4,8,5,91310,18850
Citroën,DS3 PureTech 82 BVM Chic,2015,46000,Essence,104,4.5,Manuelle,2,4,5,27370,11000
Renault,Clio Estate III dCi 85 eco2 Dynamique,2009,190000,Diesel,115,4.3,Manuelle,4,5,5,80290,4300
Volkswagen,T-Roc 1.5 TSI 150 EVO Start/Stop DSG7 Carat,2020,21000,Essence,null,null,Automatique,4,8,5,20232,28000
BMW,Gran Tourer 220d 190 ch M Sport A,2017,96000,Diesel,124,4.7,Automatique,4,10,7,38550,23000
Renault,Super 5 C,1986,118000,Essence,null,null,Manuelle,2,4,5,92350,1690
Mercedes,Classe CLA 200 d 7-G DCT Business Edition,2019,36000,Diesel,100,3.8,Automatique,4,7,5,57950,26000
Renault,Captur TCe 120 Intens EDC,2013,68000,Essence,125,5.4,Automatique,4,6,5,37500,14000
Citroën,C4 HDi 110 FAP Exclusive,2011,178000,Diesel,119,4.6,Manuelle,4,6,5,34150,5600
Renault,Twingo III SCe 65 - 20 Life,2020,2100,Essence,null,null,Manuelle,4,4,4,10380,11000
Opel,Insignia Sports Tourer 2.0 CDTI - 160 FAP EcoFLEX Start/Stop Cosmo,2012,170900,Diesel,119,4.5,Manuelle,4,8,5,24110,9000
Renault,Clio TCe 140 - 21 Intens,2021,3000,Essence,null,null,Manuelle,4,7,5,78970,19990
Peugeot,208 BlueHDi 100ch S&S BVM5 Signature,2019,45000,Diesel,86,3.2,Manuelle,4,5,5,53370,12990
Jaguar,XE 2.0 D - 180 ch BVA Prestige,2017,64000,Diesel,109,4.2,Automatique,4,9,5,53370,22990
Peugeot,308 2.0 BlueHDi 150ch S&S BVM6 Allure,2016,44000,Diesel,97,3.6,Manuelle,4,7,5,77165,16900
Infiniti,Q50 2.2d,2016,56000,Diesel,114,4.3,Manuelle,4,9,5,77820,16000
Renault,Scenic 1.5 dCi 105 Carminat,2007,182000,Diesel,138,5.2,Manuelle,4,6,5,26000,2700
Nissan,X-TRAIL 1.6 dCi 130 7pl Connect Edition Xtronic A,2015,92000,Diesel,135,5.1,Automatique,4,7,7,vendeur,15490
MINI,3 portes,2008,171250,Essence,null,null,Manuelle,2,null,4,34350,4200
BMW,323i Worldline A,1997,202000,Essence,null,null,Automatique,2,14,5,34350,5300
Peugeot,3008 1.6 THP 16V 156ch Allure,2011,192500,Essence,167,7.1,Manuelle,4,9,5,85590,5300
Mercedes,Classe CLS 320 CDI A,2005,185000,Diesel,200,7.6,Automatique,4,14,4,15270,7000
Mercedes,Classe CLA 220 d  7-G DCT4Matic Fascination,2017,55000,Diesel,123,4.8,Automatique,4,9,5,31800,27900
Alfa,Giulia 2.2 150 ch AT8 Business,2017,38000,Diesel,109,4.2,Automatique,4,7,5,37140,19700
Audi,A3 Sportback 2.0 TDI 150 Advanced S tronic 6,2016,103000,Diesel,119,4.5,Semi automatique,4,8,5,13010,18650
Renault,Clio IV dCi 90 eco2 Intens,2015,56800,Diesel,95,3.6,Manuelle,4,4,5,38090,11100
Peugeot,308 SW 1.6 THP 205ch S&S BVM6 GT,2015,78400,Essence,134,5.8,Manuelle,4,11,5,31000,16900
Renault,Koleos dCi 130 4x2 Energy Intens,2017,91200,Diesel,120,4.6,Manuelle,4,7,5,60500,17200
Fiat,Tipo 5 Portes 1.6 MultiJet 120 ch S&S Easy,2018,89000,Diesel,115,4.1,Manuelle,4,6,5,04170,10000
Opel,Corsa 1.2 Twinport City,2006,170000,Essence,151,6.3,Manuelle,2,5,5,38440,3000
Alfa,MiTo 1.4 T-Jet 155 Distinctive,2008,190000,Essence,153,6.5,Manuelle,2,9,4,38440,6000
Renault,Mégane III dCi 110 FAP Energy eco2 Akaju,2014,122500,Diesel,97,3.7,Manuelle,4,5,5,03140,8200
Peugeot,308 PureTech 110ch S&S BVM6 Tech Edition,2019,46000,Essence,102,4.6,Manuelle,4,5,5,59000,19500
Renault,Captur TCe 140 EDC - 21 Intens,2021,1500,Essence,null,null,Automatique,4,7,5,17420,24550
Peugeot,207 1.6 VTi 16V 120ch Féline,2008,57000,Essence,145,6.1,Manuelle,4,7,5,77250,6490
Infiniti,Q30 1.6t 122 Premium Tech,2017,50450,Essence,138,6.0,Manuelle,4,7,5,76300,18000
Fiat,500 0.9 85 ch TwinAir S/S 500-120th,2019,780,Essence,108,4.7,Manuelle,2,4,4,13800,11500
BMW,X3 xDrive20d 190ch BVA8 Business Design,2018,34500,Diesel,137,5.1,Automatique,4,11,5,74240,45200
Opel,Corsa 1.2 Turbo 100 ch BVM6 Ultimate,2021,2500,Essence,null,null,Manuelle,4,5,5,25310,19700
Dacia,Duster Blue dCi 115 4x2 15 ans,2021,5000,Diesel,null,null,Manuelle,4,6,5,01440,19400
BMW,X5 3.0d 235ch A,2008,120000,Diesel,214,8.1,Automatique,4,15,5,02800,17000
Renault,Clio Blue dCi 115 Business,2020,26500,Diesel,95,3.6,Manuelle,4,5,5,36270,15000
Peugeot,308 CC 2.0 HDi 163ch FAP Féline,2011,120000,Diesel,149,5.7,Manuelle,2,9,4,11160,8990
Nissan,Juke 1.6e DIG-T 190 Acenta,2011,104000,Essence,159,6.9,Manuelle,4,11,5,30160,8500
Ford,Grand C-MAX 1.6 TDCI 115 FAP Titanium,2014,135000,Diesel,124,4.7,Manuelle,4,6,5,77000,8300
Dacia,Sandero 1.5 dCi 70 eco2 Stepway,2010,166000,Diesel,140,5.3,Manuelle,4,5,5,06100,3700
Dacia,Duster Blue dCi 115 4x2 Prestige,2022,2000,Diesel,null,null,Manuelle,4,6,5,62800,19800
BMW,118d 143 ch Première,2007,220000,Diesel,119,4.5,Manuelle,4,7,5,93430,4600
Ford,Fiesta 1.4 TDCi 70 FAP Ambiente,2011,168000,Diesel,104,4.0,Manuelle,2,4,5,77570,4600
Citroën,DS5 BlueHDi 150 S&S BVM6 Executive,2015,142000,Diesel,110,4.3,Manuelle,4,7,5,78550,11000
Citroën,C4 Cactus PureTech 110 S&S BVM6 Feel,2020,26900,Essence,104,4.6,Manuelle,4,5,5,06500,15000
Seat,Ibiza 1.0 EcoTSI 95 ch S/S BVM5 Xcellence,2018,33850,Essence,106,4.7,Manuelle,4,5,5,21300,13500
Mercedes,Classe GLC 250 9G-Tronic 4Matic,2018,19250,Essence,172,7.5,Automatique,4,12,5,57400,41000
Volkswagen,Golf 1.6i,1998,220000,Essence,166,6.9,Manuelle,4,7,5,74160,3000
Volkswagen,Golf 1.6 TDI 105 FAP CR Confortline,2010,151000,Diesel,119,4.5,Manuelle,4,5,5,49270,7850
Renault,Laguna Coupé 2.0 dCi 150 Monaco GP,2012,126300,Diesel,126,4.8,Manuelle,2,8,4,34440,8900
Opel,Mokka X 1.4 Turbo - 140 ch 4x2 BVA6 Elite,2017,24100,Essence,149,6.5,Automatique,4,8,5,75019,16300
Mercedes,E270 CDI Classic A,2000,377000,Diesel,189,7.2,Automatique,4,10,5,41120,1200
Peugeot,3008 HYbrid4 2.0 HDi 163ch FAP BMP6 + Electric 37ch,2013,142000,Hybride,99,3.8,Semi automatique,4,8,5,67800,9000
Dacia,Sandero TCe 90 Confort,2021,4000,Essence,127,null,Manuelle,4,5,5,78610,15000
Volkswagen,Golf 1.4 TSI 125 MultiFuel E85 Confortline,2016,80000,Autres,116,5.2,Manuelle,4,6,5,56400,17000
Renault,Mégane IV Estate Blue dCi 115 EDC Business,2019,159000,Diesel,108,4.1,Automatique,4,6,5,33170,13500
BMW,Coupé 428i 245 ch Luxury A,2013,13500,Essence,149,6.4,Automatique,2,14,4,75016,27800
Citroën,C5 Tourer HDi 160 Exclusive,2014,123000,Diesel,133,5.1,Manuelle,4,9,5,09300,11500
Renault,Grand Modus TCE 100 eco2 Dynamique,2008,64280,Essence,140,5.9,Manuelle,4,6,5,78630,6990
Citroën,C3 Aircross BlueHDi 120 S&S EAT6 Shine,2019,30000,Diesel,null,null,Automatique,4,6,5,54200,18000
Citroën,C5 e-HDi 115 Attraction BMP6,2015,127000,Diesel,111,4.3,Semi automatique,4,6,5,95200,11000
Citroën,C5 e-HDi 115 Confort BMP6,2015,127000,Diesel,111,4.3,Automatique,4,6,5,95200,11000
Audi,A5 V6 3.0 TDI 245 Ambiente Quattro,2013,154000,Diesel,151,5.8,Manuelle,2,14,4,02830,15590
Mercedes,Classe GLC 220 d 9G-Tronic 4Matic Avantgarde Line,2021,1000,Diesel,155,null,Automatique,4,11,5,54750,45990
Audi,TT Coupé 1.8 TFSI 160,2011,85500,Essence,149,6.4,Manuelle,2,9,4,13009,18000
Citroën,DS5 Hybrid 4x4 ETG6 Sport Chic,2018,33000,Hybride,103,3.9,Semi automatique,4,8,5,32190,24500
Mercedes,GLA 200 7G-DCT AMG Line,2020,13850,Essence,null,null,Automatique,4,9,5,88200,44000
Renault,Grand Scénic dCi 130 Energy FAP eco2 Bose Edition 5 pl,2014,118000,Diesel,114,4.4,Manuelle,4,7,5,05000,10000
Renault,Modus 1.4 16V Confort Dynamique,2004,66000,Essence,161,6.7,Manuelle,4,6,5,78100,4200
Peugeot,3008 1.2 Puretech 130ch S&S BVM6 Access,2016,50500,Essence,117,5.2,Manuelle,4,7,5,22110,17000
Citroën,C3 VTi 95 Airdream Exclusive,2010,139000,Essence,134,5.8,Manuelle,4,5,5,92800,4950
Peugeot,2008 1.6 BlueHDi 100ch S&S BVM5 Féline Titane,2015,87000,Diesel,95,3.6,Manuelle,4,5,5,74400,9800
Volvo,XC40 D4 AWD AdBlue 190 ch Geartronic 8 Business,2018,65000,Diesel,null,null,Automatique,4,10,5,59299,35000
Audi,A4 Avant 2.0 TDI 150 S Line,2014,225000,Diesel,124,4.7,Manuelle,4,8,5,33310,11990
Volkswagen,Touran 1.6 TDI 105 FAP Carat,2011,148000,Diesel,134,5.1,Manuelle,4,6,5,85000,8500
Honda,HR-V 1.5  i-VTEC Exclusive Navi,2017,53500,Essence,134,5.7,Manuelle,4,7,5,27610,17300
